timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2025-05-28T00:00:00.000Z";"2025-05-28T23:59:59.999Z";"2025-05-28T01:01:00.000Z";"2025-05-28T19:55:00.000Z";"2781";0.2261612446;0.2276573934;0.2172164655;0.2207822537;1203668237.34;32997368592.43;"2025-05-28T23:59:59.999Z"
"2025-05-27T00:00:00.000Z";"2025-05-27T23:59:59.999Z";"2025-05-27T13:22:00.000Z";"2025-05-27T01:25:00.000Z";"2781";0.2260300126;0.2320069541;0.2201104622;0.2261644243;1406054689.83;33798689248.06;"2025-05-27T23:59:59.999Z"
"2025-05-26T00:00:00.000Z";"2025-05-26T23:59:59.999Z";"2025-05-26T07:14:00.000Z";"2025-05-26T17:52:00.000Z";"2781";0.2249828854;0.2302745403;0.2230100887;0.2260247608;1172026171.65;33775528344.45;"2025-05-26T23:59:59.999Z"
"2025-05-25T00:00:00.000Z";"2025-05-25T23:59:59.999Z";"2025-05-25T00:10:00.000Z";"2025-05-25T15:28:00.000Z";"2781";0.2252968933;0.2262710588;0.2162308769;0.2249835677;1528958069.52;33615996988.85;"2025-05-25T23:59:59.999Z"
"2025-05-24T00:00:00.000Z";"2025-05-24T23:59:59.999Z";"2025-05-24T04:59:00.000Z";"2025-05-24T23:11:00.000Z";"2781";0.2248139095;0.2303624749;0.224053563;0.2252968933;1223553026.51;33659875486.86;"2025-05-24T23:59:59.999Z"
"2025-05-23T00:00:00.000Z";"2025-05-23T23:59:59.999Z";"2025-05-23T02:46:00.000Z";"2025-05-23T23:49:00.000Z";"2781";0.2450275273;0.2536171405;0.223777892;0.2248135914;3466192197.15;33584623151;"2025-05-23T23:59:59.999Z"
"2025-05-22T00:00:00.000Z";"2025-05-22T23:59:59.999Z";"2025-05-22T23:49:00.000Z";"2025-05-22T00:00:00.000Z";"2781";0.2340682612;0.2454391769;0.2340642217;0.2450275273;2739121620.77;36600988455.95;"2025-05-22T23:59:59.999Z"
"2025-05-21T00:00:00.000Z";"2025-05-21T23:59:59.999Z";"2025-05-21T16:52:00.000Z";"2025-05-21T17:58:00.000Z";"2781";0.226127006;0.2375834059;0.2232928826;0.2340579222;2813244923.54;34960743622.23;"2025-05-21T23:59:59.999Z"
"2025-05-20T00:00:00.000Z";"2025-05-20T23:59:59.999Z";"2025-05-20T02:26:00.000Z";"2025-05-20T13:52:00.000Z";"2781";0.2244211585;0.2303272028;0.2180457047;0.2261255545;1815889700.61;33771538392.68;"2025-05-20T23:59:59.999Z"
"2025-05-19T00:00:00.000Z";"2025-05-19T23:59:59.999Z";"2025-05-19T00:10:00.000Z";"2025-05-19T12:57:00.000Z";"2781";0.2339612041;0.2351429499;0.2145453543;0.2244211937;2122215648.03;33513686800.09;"2025-05-19T23:59:59.999Z"
"2025-05-18T00:00:00.000Z";"2025-05-18T23:59:59.999Z";"2025-05-18T15:52:00.000Z";"2025-05-18T00:47:00.000Z";"2781";0.2146977108;0.2371566662;0.2143782428;0.2341814517;2360198976.35;34935111878.42;"2025-05-18T23:59:59.999Z"
"2025-05-17T00:00:00.000Z";"2025-05-17T23:59:59.999Z";"2025-05-17T00:16:00.000Z";"2025-05-17T16:49:00.000Z";"2781";0.2212871244;0.2220454775;0.2114877061;0.2146980812;1499656752.9;32055803773.89;"2025-05-17T23:59:59.999Z"
"2025-05-16T00:00:00.000Z";"2025-05-16T23:59:59.999Z";"2025-05-16T16:06:00.000Z";"2025-05-16T01:21:00.000Z";"2781";0.2191940999;0.2302962299;0.2183164877;0.2212871244;1759584218.3;33036628930.03;"2025-05-16T23:59:59.999Z"
"2025-05-15T00:00:00.000Z";"2025-05-15T23:59:59.999Z";"2025-05-15T01:07:00.000Z";"2025-05-15T23:24:00.000Z";"2781";0.2328068974;0.2364367755;0.2149225307;0.2191893767;2477683429.04;32721127852.72;"2025-05-15T23:59:59.999Z"
"2025-05-14T00:00:00.000Z";"2025-05-14T23:59:59.999Z";"2025-05-14T05:56:00.000Z";"2025-05-14T17:26:00.000Z";"2781";0.2412146771;0.2467685255;0.2287419533;0.2328077558;2249826077.3;34750197830.34;"2025-05-14T23:59:59.999Z"
"2025-05-13T00:00:00.000Z";"2025-05-13T23:59:59.999Z";"2025-05-13T19:49:00.000Z";"2025-05-13T03:53:00.000Z";"2781";0.2310015014;0.2428989126;0.2180232413;0.2412146771;2734212255.82;36001726290.65;"2025-05-13T23:59:59.999Z"
